id,address,ADDR_LINE1,ADDR_LINE2,CITY,STATE,ZIP
117,5 N CLEVELAND MASSILLON RD THOUSAND OAKS CA 91362,5 N CLEVELAND MASSILLON RD,,THOUSAND OAKS,CA,91362
179,3717 HAMANN INDUSTRIAL PKY SAN FRANCISCO CA 94104,3717 HAMANN INDUSTRIAL PKY,,SAN FRANCISCO,CA,94104
60,14302 PENNSYLVANIA AVE HUNTINGDON VALLEY PA 19006,14302 PENNSYLVANIA AVE,,HUNTINGDON VALLEY,PA,19006
62,53075 SW 152ND TER #615 MONROE TOWNSHIP NJ 8831,53075 SW 152ND TER,# 615,MONROE TOWNSHIP,NJ,8831
126,83 COUNTY ROAD 437 #8581 CLARKS SUMMIT PA 18411,83 COUNTY ROAD 437,# 8581,CLARKS SUMMIT,PA,18411
282,42744 HAMANN INDUSTRIAL PKY #82 MIAMI FL 33136,42744 HAMANN INDUSTRIAL PKY,# 82,MIAMI,FL,33136
318,1 RANCHO DEL MAR SHOPPING C PROVIDENCE RI 2903,,,PROVIDENCE,RI,2903
378,721 INTERSTATE 45 S COLORADO SPRINGS CO 80919,721 INTERSTATE 45 S,,COLORADO SPRINGS,CO,80919
270,77 MASSILLON RD #822 SATELLITE BEACH FL 32937,77 MASSILLON RD,# 822,SATELLITE BEACH,FL,32937
14,98 CONNECTICUT AVE NW CHAGRIN FALLS OH 44023,98 CONNECTICUT AVE NW,,CHAGRIN FALLS,OH,44023
326,80 PITTSFORD VICTOR RD #9 CLEVELAND OH 44103,80 PITTSFORD VICTOR RD,# 9,CLEVELAND,OH,44103
260,25 MINTERS CHAPEL RD #9 MINNEAPOLIS MN 55401,25 MINTERS CHAPEL RD,# 9,MINNEAPOLIS,MN,55401
451,51120 STATE ROUTE 18 SALT LAKE CITY UT 84115,51120 STATE ROUTE 18,,SALT LAKE CITY,UT,84115
304,13252 LIGHTHOUSE AVE CATHEDRAL CITY CA 92234,13252 LIGHTHOUSE AVE,,CATHEDRAL CITY,CA,92234
292,3882 W CONGRESS ST #799 LOS ANGELES CA 90016,3882 W CONGRESS ST,# 799,LOS ANGELES,CA,90016
53,98839 HAWTHORNE BLVD #6101 COLUMBIA SC 29201,98839 HAWTHORNE BLVD,# 6101,COLUMBIA,SC,29201
447,26849 JEFFERSON HWY ROLLING MEADOWS IL 60008,26849 JEFFERSON HWY,,ROLLING MEADOWS,IL,60008
241,433 WESTMINSTER BLVD #590 ROSEVILLE CA 95661,433 WESTMINSTER BLVD,# 590,ROSEVILLE,CA,95661
248,18 WATERLOO GENEVA RD HIGHLAND PARK IL 60035,18 WATERLOO GENEVA RD,,HIGHLAND PARK,IL,60035
113,2239 SHAWNEE MISSION PKY TULLAHOMA TN 37388,2239 SHAWNEE MISSION PKY,,TULLAHOMA,TN,37388
352,73 W BARSTOW AVE ARLINGTON HEIGHTS IL 60004,73 W BARSTOW AVE,,ARLINGTON HEIGHTS,IL,60004
466,35 E MAIN ST #43 ELK GROVE VILLAGE IL 60007,35 E MAIN ST,# 43,ELK GROVE VILLAGE,IL,60007
377,89 20TH ST E #779 STERLING HEIGHTS MI 48310,89 20TH ST E,# 779,STERLING HEIGHTS,MI,48310
116,55892 JACKSONVILLE RD OWINGS MILLS MD 21117,55892 JACKSONVILLE RD,,OWINGS MILLS,MD,21117
314,2845 BOULDER CRESCENT ST CLEVELAND OH 44103,2845 BOULDER CRESCENT ST,,CLEVELAND,OH,44103
310,596 SANTA MARIA AVE #7913 MESQUITE TX 75150,596 SANTA MARIA AVE,# 7913,MESQUITE,TX,75150
174,287 YOUNGSTOWN WARREN RD HAMPSTEAD MD 21074,287 YOUNGSTOWN WARREN RD,,HAMPSTEAD,MD,21074
386,539 COLDWATER CANYON AVE BLOOMFIELD NJ 7003,539 COLDWATER CANYON AVE,,BLOOMFIELD,NJ,7003
201,4252 N WASHINGTON AVE #9 KENNEDALE TX 76060,4252 N WASHINGTON AVE,# 9,KENNEDALE,TX,76060
207,6 MIDDLEGATE RD #106 SAN FRANCISCO CA 94107,6 MIDDLEGATE RD,# 106,SAN FRANCISCO,CA,94107
479,43496 COMMERCIAL DR #29 CHERRY HILL NJ 8003,43496 COMMERCIAL DR,# 29,CHERRY HILL,NJ,8003
430,9 STATE HIGHWAY 57 #22 JERSEY CITY NJ 7306,9 STATE HIGHWAY 57,# 22,JERSEY CITY,NJ,7306
489,3338 A LOCKPORT PL #6 MARGATE CITY NJ 8402,3338 LOCKPORT PL,# 6,MARGATE CITY,NJ,8402
209,577 PARADE ST SOUTH SAN FRANCISCO CA 94080,577 PARADE ST,,SOUTH SAN FRANCISCO,CA,94080
473,177 S RIDER TRL #52 CRYSTAL RIVER FL 34429,177 S RIDER TRL,# 52,CRYSTAL RIVER,FL,34429
193,326 E MAIN ST #6496 THOUSAND OAKS CA 91362,326 E MAIN ST,# 6496,THOUSAND OAKS,CA,91362
402,8590 LAKE LIZZIE DR BOWLING GREEN OH 43402,8590 LAKE LIZZIE DR,,BOWLING GREEN,OH,43402
392,810 N LA BREA AVE KING OF PRUSSIA PA 19406,810 N LA BREA AVE,,KING OF PRUSSIA,PA,19406
228,75684 S WITHLAPOPKA DR #32 DALLAS TX 75227,75684 S WITHLAPOPKA DR,# 32,DALLAS,TX,75227
274,6538 E POMONA ST #60 INDIANAPOLIS IN 46222,6538 E POMONA ST,# 60,INDIANAPOLIS,IN,46222
431,4 S WASHINGTON AVE SAN BERNARDINO CA 92410,4 S WASHINGTON AVE,,SAN BERNARDINO,CA,92410
57,14288 FOSTER AVE #4121 JENKINTOWN PA 19046,14288 FOSTER AVE,# 4121,JENKINTOWN,PA,19046
217,383 GUNDERMAN RD #197 COATESVILLE PA 19320,383 GUNDERMAN RD,# 197,COATESVILLE,PA,19320
94,1747 CALLE AMANECER #2 ANCHORAGE AK 99501,1747 CALLE AMANECER,# 2,ANCHORAGE,AK,99501
198,5384 SOUTHWYCK BLVD DOUGLASVILLE GA 30135,5384 SOUTHWYCK BLVD,,DOUGLASVILLE,GA,30135
98,7140 UNIVERSITY AVE ROCK SPRINGS WY 82901,7140 UNIVERSITY AVE,,ROCK SPRINGS,WY,82901
433,105 RICHMOND VALLEY RD ESCONDIDO CA 92025,105 RICHMOND VALLEY RD,,ESCONDIDO,CA,92025
102,524 LOUISIANA AVE NW SAN LEANDRO CA 94577,524 LOUISIANA AVE NW,,SAN LEANDRO,CA,94577
218,4441 POINT TERM MKT PHILADELPHIA PA 19143,4441 POINT TERM MKT,,PHILADELPHIA,PA,19143
419,34 RARITAN CENTER PKY BELLFLOWER CA 90706,34 RARITAN CENTER PKY,,BELLFLOWER,CA,90706
295,57254 BRICKELL AVE #372 WORCESTER MA 1602,57254 BRICKELL AVE,# 372,WORCESTER,MA,1602
448,2500 PRINGLE RD SE #508 HATFIELD PA 19440,2500 PRINGLE RD SE,# 508,HATFIELD,PA,19440
224,77132 COON RAPIDS BLVD NW CONROE TX 77301,77132 COON RAPIDS BLVD NW,,CONROE,TX,77301
296,8977 CONNECTICUT AVE NW #3 NILES MI 49120,8977 CONNECTICUT AVE NW,# 3,NILES,MI,49120
168,992 CIVIC CENTER DR PHILADELPHIA PA 19123,992 CIVIC CENTER DR,,PHILADELPHIA,PA,19123
17,69734 E CARRILLO ST MC MINNVILLE TN 37110,69734 E CARRILLO ST,,MC MINNVILLE,TN,37110
272,60 FILLMORE AVE HUNTINGTON BEACH CA 92647,60 FILLMORE AVE,,HUNTINGTON BEACH,CA,92647
340,8 US HIGHWAY 22 COLORADO SPRINGS CO 80937,8 US HIGHWAY 22,,COLORADO SPRINGS,CO,80937
91,4800 BLACK HORSE PIKE BURLINGAME CA 94010,4800 BLACK HORSE PIKE,,BURLINGAME,CA,94010
255,87393 E HIGHLAND RD INDIANAPOLIS IN 46220,87393 E HIGHLAND RD,,INDIANAPOLIS,IN,46220
123,52777 LEADERS HEIGHTS RD ONTARIO CA 91761,52777 LEADERS HEIGHTS RD,,ONTARIO,CA,91761
453,4119 METROPOLITAN DR LOS ANGELES CA 90021,4119 METROPOLITAN DR,,LOS ANGELES,CA,90021
481,50126 N PLANKINTON AVE LONGWOOD FL 32750,50126 N PLANKINTON AVE,,LONGWOOD,FL,32750
92,83649 W BELMONT AVE SAN GABRIEL CA 91776,83649 W BELMONT AVE,,SAN GABRIEL,CA,91776
177,2887 KNOWLTON ST #5435 BERKELEY CA 94710,2887 KNOWLTON ST,# 5435,BERKELEY,CA,94710
486,6 RIDGEWOOD CENTER DR OLD FORGE PA 18518,6 RIDGEWOOD CENTER DR,,OLD FORGE,PA,18518
10,228 RUNAMUCK PL #2808 BALTIMORE MD 21224,228 RUNAMUCK PL,# 2808,BALTIMORE,MD,21224
12,37275 ST RT 17M M MIDDLE ISLAND NY 11953,37275 ST RT,17M M,MIDDLE ISLAND,NY,11953
214,2026 N PLANKINTON AVE #3 AUSTIN TX 78754,2026 N PLANKINTON AVE,# 3,AUSTIN,TX,78754
199,97 AIRPORT LOOP DR JACKSONVILLE FL 32216,97 AIRPORT LOOP DR,,JACKSONVILLE,FL,32216
323,85092 SOUTHERN BLVD SAN ANTONIO TX 78204,85092 SOUTHERN BLVD,,SAN ANTONIO,TX,78204
71,701 S HARRISON RD SAN FRANCISCO CA 94104,701 S HARRISON RD,,SAN FRANCISCO,CA,94104
371,97 E 3RD ST #9 LONG ISLAND CITY NY 11101,97 E 3RD ST,# 9,LONG ISLAND CITY,NY,11101
42,7219 WOODFIELD RD OVERLAND PARK KS 66204,7219 WOODFIELD RD,,OVERLAND PARK,KS,66204
137,4 WAREHOUSE POINT RD #7 CHICAGO IL 60638,4 WAREHOUSE POINT RD,# 7,CHICAGO,IL,60638
363,9 PLAINSBORO RD #598 GREENSBORO NC 27409,9 PLAINSBORO RD,# 598,GREENSBORO,NC,27409
69,2853 S CENTRAL EXPY GLEN BURNIE MD 21061,2853 S CENTRAL EXPY GLEN,,BURNIE,MD,21061
146,60480 OLD US HIGHWAY 51 PRESTON MD 21655,60480 US HIGHWAY 51,,PRESTON,MD,21655
324,64 NEWMAN SPRINGS RD E BROOKLYN NY 11219,64 NEWMAN SPRINGS RD,,E BROOKLYN,NY,11219
267,5 S COLORADO BLVD #449 BOTHELL WA 98021,5 S COLORADO BLVD,# 449,BOTHELL,WA,98021
308,47857 CONEY ISLAND AVE CLINTON MD 20735,47857 CONEY ISLAND AVE,,CLINTON,MD,20735
160,1844 SOUTHERN BLVD LITTLE ROCK AR 72202,1844 SOUTHERN BLVD,,LITTLE ROCK,AR,72202
280,5 GREEN POND RD #4 SOUTHAMPTON PA 18966,5 GREEN POND RD,# 4,SOUTHAMPTON,PA,18966
95,99385 CHARITY ST #840 SAN JOSE CA 95110,99385 CHARITY ST,# 840,SAN JOSE,CA,95110
360,72119 S WALKER AVE #63 ANAHEIM CA 92801,72119 S WALKER AVE,# 63,ANAHEIM,CA,92801
265,669 PACKERLAND DR #1438 DENVER CO 80212,669 PACKERLAND DR,# 1438,DENVER,CO,80212
361,369 LATHAM ST #500 SAINT LOUIS MO 63102,369 LATHAM ST,# 500,SAINT LOUIS,MO,63102
156,55262 N FRENCH RD INDIANAPOLIS IN 46240,55262 N FRENCH RD,,INDIANAPOLIS,IN,46240
1,6649 N BLUE GUM ST NEW ORLEANS LA 70116,6649 N BLUE GUM ST,,NEW ORLEANS,LA,70116
35,2742 DISTRIBUTION WAY NEW YORK NY 10025,2742 DISTRIBUTION WAY,,NEW YORK,NY,10025
483,16452 GREENWICH ST GARDEN CITY NY 11530,16452 GREENWICH ST,,GARDEN CITY,NY,11530
456,55713 LAKE CITY HWY SOUTH BEND IN 46601,55713 LAKE CITY HWY,,SOUTH BEND,IN,46601
462,88827 FRANKFORD AVE GREENSBORO NC 27401,88827 FRANKFORD AVE,,GREENSBORO,NC,27401
464,62260 PARK STRE MONROE TOWNSHIP NJ 8831,62260 PARK STRE MONROE,,TOWNSHIP,NJ,8831
33,45 E LIBERTY ST RIDGEFIELD PARK NJ 7660,45 E LIBERTY ST,,RIDGEFIELD PARK,NJ,7660
475,1953 TELEGRAPH RD SAINT JOSEPH MO 64504,1953 TELEGRAPH RD,,SAINT JOSEPH,MO,64504
18,322 NEW HORIZON BLVD MILWAUKEE WI 53207,322 NEW HORIZON BLVD,,MILWAUKEE,WI,53207
249,506 S HACIENDA DR ATLANTIC CITY NJ 8401,506 S HACIENDA DR,,ATLANTIC CITY,NJ,8401
220,2140 DIAMOND BLVD ROHNERT PARK CA 94928,2140 DIAMOND BLVD,,ROHNERT PARK,CA,94928
3,8 W CERRITOS AVE #54 BRIDGEPORT NJ 8014,8 W CERRITOS AVE,# 54,BRIDGEPORT,NJ,8014
135,30553 WASHINGTON RD PLAINFIELD NJ 7062,30553 WASHINGTON RD,,PLAINFIELD,NJ,7062
452,1482 COLLEGE AVE FAYETTEVILLE NC 28301,1482 COLLEGE AVE,,FAYETTEVILLE,NC,28301
124,72868 BLACKINGTON AVE OAKLAND CA 94606,72868 BLACKINGTON AVE,,OAKLAND,CA,94606
254,3 RAILWAY AVE #75 LITTLE FALLS NJ 7424,3 RAILWAY AVE,# 75,LITTLE FALLS,NJ,7424
173,84 BLOOMFIELD AVE SPARTANBURG SC 29301,84 BLOOMFIELD AVE,,SPARTANBURG,SC,29301
349,8772 OLD COUNTY RD #5410 KENT WA 98032,8772 OLD COUNTY RD,# 5410,KENT,WA,98032
348,8116 MOUNT VERNON AVE BUCYRUS OH 44820,8116 MOUNT VERNON AVE,,BUCYRUS,OH,44820
391,29 CHERRY ST #7073 DES MOINES IA 50315,29 CHERRY ST,# 7073,DES MOINES,IA,50315
164,81 NORRIS AVE #525 RONKONKOMA NY 11779,81 NORRIS AVE,# 525,RONKONKOMA,NY,11779
233,560 CIVIC CENTER DR ANN ARBOR MI 48103,560 CIVIC CENTER DR,,ANN ARBOR,MI,48103
138,4940 PULASKI PARK DR PORTLAND OR 97202,4940 PULASKI PARK DR,,PORTLAND,OR,97202
141,61 13 STONERIDGE #835 FINDLAY OH 45840,61 13 STONERIDGE,# 835,FINDLAY,OH,45840
288,5221 BEAR VALLEY RD NASHVILLE TN 37211,5221 BEAR VALLEY RD,,NASHVILLE,TN,37211
120,8 COUNTY CENTER DR #647 BOSTON MA 2210,8 COUNTY CENTER DR,# 647,BOSTON,MA,2210
319,3943 N HIGHLAND AVE LANCASTER PA 17601,3943 N HIGHLAND AVE,,LANCASTER,PA,17601
474,2 W MOUNT ROYAL AVE FORTVILLE IN 46040,2 W MOUNT ROYAL AVE,,FORTVILLE,IN,46040
317,4 KOHLER MEMORIAL DR BROOKLYN NY 11230,4 KOHLER MEMORIAL DR,,BROOKLYN,NY,11230
184,6 HARRY L DR #6327 PERRYSBURG OH 43551,6 HARRY L DR,# 6327,PERRYSBURG,OH,43551
299,7563 CORNWALL RD #4462 DENVER PA 17517,7563 CORNWALL RD,# 4462,DENVER,PA,17517
89,3777 E RICHMOND ST #900 AKRON OH 44302,3777 E RICHMOND ST,# 900,AKRON,OH,44302
238,5 LITTLE RIVER TPKE WILMINGTON MA 1887,5 LITTLE RIVER TPKE,,WILMINGTON,MA,1887
66,3305 NABELL AVE #679 NEW YORK NY 10009,3305 NABELL AVE,# 679,NEW YORK,NY,10009
205,73 SOUTHERN BLVD PHILADELPHIA PA 19103,73 SOUTHERN BLVD,,PHILADELPHIA,PA,19103
96,68556 CENTRAL HWY SAN LEANDRO CA 94577,68556 CENTRAL HWY,,SAN LEANDRO,CA,94577
97,55 RIVERSIDE AVE INDIANAPOLIS IN 46202,55 RIVERSIDE AVE,,INDIANAPOLIS,IN,46202
206,189 VILLAGE PARK RD CRESTVIEW FL 32536,189 VILLAGE PARK RD,,CRESTVIEW,FL,32536
75,2737 PISTORIO RD #9230 LONDON OH 43140,2737 PISTORIO RD,# 9230,LONDON,OH,43140
413,18 CORONADO AVE #563 PASADENA CA 91106,18 CORONADO AVE,# 563,PASADENA,CA,91106
103,185 BLACKSTONE BLDGE HONOLULU HI 96817,185 BLACKSTONE,,BLDGE HONOLULU,HI,96817
73,30 W 80TH ST #1995 SAN CARLOS CA 94070,30 W 80TH ST,# 1995,SAN CARLOS,CA,94070
72,1088 PINEHURST ST CHAPEL HILL NC 27514,1088 PINEHURST ST,,CHAPEL HILL,NC,27514
211,4379 HIGHWAY 116 PHILADELPHIA PA 19103,4379 HIGHWAY 116,,PHILADELPHIA,PA,19103
90,3 FORT WORTH AVE PHILADELPHIA PA 19106,3 FORT WORTH AVE,,PHILADELPHIA,PA,19106
259,7 W WABANSIA AVE #227 ORLANDO FL 32822,7 W WABANSIA AVE,# 227,ORLANDO,FL,32822
359,9506 EDGEMORE AVE BLADENSBURG MD 20710,9506 EDGEMORE AVE,,BLADENSBURG,MD,20710
428,10276 BROOKS ST SAN FRANCISCO CA 94105,10276 BROOKS ST,,SAN FRANCISCO,CA,94105
256,67 E CHESTNUT HILL RD SEATTLE WA 98133,67 E CHESTNUT HILL RD,,SEATTLE,WA,98133
423,1610 14TH ST NW NEWPORT NEWS VA 23608,1610 14TH ST NW,,NEWPORT NEWS,VA,23608
306,96541 W CENTRAL BLVD PHOENIX AZ 85034,96541 W CENTRAL BLVD,,PHOENIX,AZ,85034
408,79 S HOWELL AVE GRAND RAPIDS MI 49546,79 S HOWELL AVE,,GRAND RAPIDS,MI,49546
242,66697 PARK PL #3224 RIVERTON WY 82501,66697 PARK PL,# 3224,RIVERTON,WY,82501
261,6882 TORRESDALE AVE COLUMBIA SC 29201,6882 TORRESDALE AVE,,COLUMBIA,SC,29201
162,63381 JENKS AVE PHILADELPHIA PA 19134,63381 JENKS AVE,,PHILADELPHIA,PA,19134
307,34 SAINT GEORGE AVE #2 BANGOR ME 4401,34 SAINT GEORGE AVE,# 2,BANGOR,ME,4401
258,8100 JACKSONVILLE RD #7 HAYS KS 67601,8100 JACKSONVILLE RD,# 7,HAYS,KS,67601
